epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2653.79,2.84074,8.62846,2.54714,0.00158,0.1817,0.00134,0.00045,2.64282,5.04501,2.48982,0.000301665,0.000301665,0.000301665
2,5413.32,2.58166,4.35354,2.3691,0.19583,0.02939,0.02245,0.0072,2.59012,4.27598,2.37065,0.000544803,0.000544803,0.000544803
3,8485.83,2.48189,3.93713,2.32438,0.22344,0.08401,0.04635,0.01451,2.46604,4.17191,2.38851,0.000727947,0.000727947,0.000727947
4,11283.8,2.43793,3.76798,2.31669,0.42129,0.07233,0.05479,0.0195,2.41623,4.12647,2.39242,0.000639027,0.000639027,0.000639027
5,14460.9,2.37686,3.56166,2.28785,0.14897,0.10405,0.08131,0.02903,2.39966,3.47212,2.35105,0.000549036,0.000549036,0.000549036
6,17463.3,2.28819,3.24401,2.20999,0.84652,0.09518,0.12241,0.04297,2.30212,3.09163,2.30272,0.000459045,0.000459045,0.000459045
7,20082.5,2.20767,2.978,2.16235,0.47495,0.14968,0.1294,0.04949,2.23841,3.02708,2.21189,0.000369054,0.000369054,0.000369054
8,22698,2.13281,2.75231,2.09783,0.21979,0.19862,0.17424,0.06382,2.28876,2.86825,2.23704,0.000279063,0.000279063,0.000279063
9,25318.1,2.06526,2.50819,2.05196,0.26476,0.20423,0.18837,0.07594,2.27918,2.76995,2.26708,0.000189072,0.000189072,0.000189072
10,27951.2,1.97766,2.30891,1.98434,0.23579,0.25337,0.23259,0.08785,2.28676,2.67138,2.24629,9.9081e-05,9.9081e-05,9.9081e-05
